课程名称	均分	最高分	课程代码
合唱音乐	/2015-2016-2	97.50	100.00
危机与公共关系	/2015-2016-1	96.78	99.00
绘画基础	/2015-2016-2	96.28	98.00
生命科学导论实验（A类）	/2015-2016-2	96.24	100.00
定价策略	/2015-2016-1	96.15	99.00
绘画基础	/2014-2015-2	96.10	98.00
"UTJS"体验式教育－－理解团队合作工作能力	/2015-2016-1	95.76	100.00
危机与公共关系	/2015-2016-2	95.65	98.00
生命科学导论实验（A类）	/2015-2016-1	95.55	99.00
政府规制	/2014-2015-1	95.50	96.00
中级宏观经济学	/2014-2015-1	95.44	100.00
政府规制	/2015-2016-1	95.41	98.00
中国传统文化中的哲学思想	/2015-2016-2	95.41	100.00
合唱音乐	/2015-2016-1	95.39	97.00
网络环境下的文科信息检索	/2015-2016-2	95.36	100.00
急救与自救	/2014-2015-2	95.31	100.00
“UTJS”体验式教育	/2015-2016-2	95.06	99.00
设计素描	/2015-2016-1	95.00	97.00
卓越领导力：成功人生之道	/2014-2015-1	95.00	95.00
“UTJS”体验式教育——大学生演讲与沟通	/2014-2015-2	95.00	100.00
网络环境下的文科信息检索	/2015-2016-1	94.86	99.00
政治经济学经典导读	/2014-2015-1	94.42	98.00
工程实践与科技创新Ⅳ-F	/2014-2015-1	94.40	98.00
食品分析与检验实验	/2014-2015-1	94.33	97.00
危机与公共关系	/2014-2015-1	94.29	98.00
网络环境下的文科信息检索	/2014-2015-2	94.24	100.00
工程实践与科技创新Ⅲ-C	/2015-2016-1	94.17	100.00
"UTJS"体验式教育－－理解团队合作工作能力	/2014-2015-2	94.07	100.00
单片机系统设计	/2014-2015-1	94.00	96.00
领导科学与艺术	/2014-2015-1	94.00	99.00
花卉应用学	/2015-2016-2	94.00	96.00
网络环境下的文科信息检索	/2014-2015-1	94.00	100.00
基础法语(上)	/2014-2015-2	93.97	98.00
生物学导论讨论课（1）	/2015-2016-1	93.91	99.00
中国传统文化中的哲学思想	/2014-2015-2	93.81	100.00
日本民俗文化专题	/2015-2016-1	93.80	98.00
食品分析与检验实验	/2015-2016-1	93.80	98.00
电子商务（B类）	/2014-2015-1	93.75	96.00
生物技术概论	/2015-2016-1	93.75	97.00
产品工程	/2015-2016-1	93.74	98.00
蛋白质工程与应用	/2015-2016-1	93.67	96.00
材料工程导论Ⅱ	/2015-2016-1	93.54	98.00
“UTJS”体验式教育——大学生演讲与沟通	/2015-2016-1	93.52	99.00
绘画基础	/2014-2015-1	93.50	97.00
信息安全科技创新	/2015-2016-1	93.47	98.00
歌曲欣赏与演唱	/2014-2015-2	93.46	95.00
